,season_x,player,age,team_id,pos,g,gs,mp_per_g,fga_per_g,fg_pct,fg3a_per_g,fg3_pct,fg2a_per_g,fg2_pct,efg_pct,fta_per_g,ft_pct,orb_per_g,drb_per_g,tr_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,season_y,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,mov,mov_adj,win_loss_pct
0,2023,Joel Embiid,28,PHI,C,66,66,34.6,20.1,.548,3.0,.330,17.1,.587,.573,11.7,.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1,2023,2284,31.4,.655,.151,.581,5.9,28.3,17.3,22.9,1.4,4.6,11.9,37.0,8.4,3.9,12.3,.259,6.8,2.3,9.2,6.4,4.32,4.38,0.6585365853658537
8,2023,James Harden,33,PHI,PG,58,58,36.8,14.5,.441,7.2,.385,7.3,.495,.536,6.2,.867,0.7,5.4,6.1,10.7,1.2,0.5,3.4,1.9,21.0,2023,2135,21.6,.607,.496,.429,2.3,17.1,9.8,43.3,1.6,1.4,16.3,25.0,5.8,2.6,8.4,.188,5.1,0.3,5.4,4.0,4.32,4.38,0.6585365853658537
12,2023,Tyrese Maxey,22,PHI,SG,60,41,33.6,15.2,.481,6.2,.434,9.1,.513,.568,3.6,.845,0.4,2.6,2.9,3.5,0.8,0.1,1.3,2.2,20.3,2023,2016,17.0,.605,.404,.233,1.4,8.8,5.2,16.9,1.2,0.4,7.4,24.1,3.7,1.6,5.4,.128,1.9,-1.2,0.6,1.3,4.32,4.38,0.6585365853658537
20,2024,Kelly Oubre Jr.,28,PHI,SF,68,52,30.2,12.9,.441,4.8,.311,8.1,.517,.498,3.4,.750,1.4,3.6,5.0,1.5,1.1,0.7,1.3,2.9,15.4,2023,1548,14.8,.534,.414,.254,4.4,12.9,8.6,5.6,2.1,1.0,6.6,26.5,0.1,1.5,1.7,.051,-0.4,-0.7,-1.1,0.3,4.32,4.38,0.6585365853658537
24,2023,Louis King,23,PHI,PF,1,0,29.0,13.0,.615,8.0,.500,5.0,.800,.769,1.0,.000,2.0,2.0,4.0,2.0,1.0,0.0,2.0,4.0,20.0,2023,29,21.3,.744,.615,.077,8.3,8.0,8.1,12.2,1.7,0.0,13.0,23.8,0.1,0.0,0.1,.157,3.3,-1.0,2.3,0.0,4.32,4.38,0.6585365853658537
26,2024,Buddy Hield,31,PHI,SG,32,14,25.8,10.4,.426,6.6,.389,3.8,.492,.550,0.8,.923,0.8,2.3,3.2,3.0,0.8,0.3,1.3,2.1,12.2,2023,2482,15.4,.614,.652,.124,3.0,14.9,8.9,13.3,1.8,0.9,11.3,20.8,2.7,1.6,4.4,.085,2.5,-0.6,1.9,2.4,4.32,4.38,0.6585365853658537
34,2023,Tobias Harris,30,PHI,SF,74,74,32.9,11.4,.501,4.4,.389,7.0,.570,.575,1.7,.876,0.9,4.8,5.7,2.5,0.9,0.5,1.2,2.0,14.7,2023,2436,14.8,.602,.383,.153,3.3,17.0,10.3,11.4,1.4,1.5,9.0,18.2,3.1,2.8,5.9,.116,0.6,0.1,0.7,1.7,4.32,4.38,0.6585365853658537
42,2024,KJ Martin,23,PHI,SF,58,2,12.3,2.9,.544,0.4,.304,2.6,.581,.564,0.7,.538,0.7,1.5,2.2,0.9,0.3,0.2,0.5,1.7,3.7,2023,2292,15.4,.635,.300,.308,6.0,15.8,10.8,8.1,0.9,1.3,10.0,16.4,4.2,0.7,4.9,.103,0.6,-1.3,-0.7,0.7,4.32,4.38,0.6585365853658537
50,2023,Mac McClung,24,PHI,SG,2,0,20.5,10.0,.450,5.5,.364,4.5,.556,.550,2.5,.600,1.5,3.5,5.0,4.5,0.0,0.0,1.5,1.5,12.5,2023,41,19.2,.563,.550,.250,8.8,19.8,14.4,35.3,0.0,0.0,11.9,27.5,0.1,0.0,0.1,.140,2.2,-1.7,0.5,0.0,4.32,4.38,0.6585365853658537
52,2024,Kyle Lowry,37,PHI,PG,23,20,28.4,5.9,.444,3.9,.404,2.0,.522,.578,1.4,.848,0.4,2.4,2.8,4.6,0.9,0.3,1.4,2.3,8.0,2023,1718,12.6,.565,.639,.278,2.8,12.9,7.7,23.4,1.7,1.2,15.9,16.7,1.5,1.9,3.4,.096,-0.7,0.8,0.2,0.9,4.32,4.38,0.6585365853658537
60,2024,Marcus Morris,34,PHI,PF,37,7,17.2,5.5,.439,2.4,.400,3.1,.470,.527,1.0,.861,0.5,2.5,2.9,0.7,0.4,0.3,0.5,1.6,6.7,2023,1825,10.5,.534,.479,.135,1.8,13.9,7.9,8.9,1.1,1.0,7.6,17.6,0.4,1.6,2.0,.053,-1.8,-0.2,-1.9,0.0,4.32,4.38,0.6585365853658537
68,2024,Cameron Payne,29,PHI,PG,31,8,19.4,8.4,.413,4.4,.382,4.0,.447,.514,0.7,.913,0.5,1.3,1.8,3.1,0.6,0.3,1.1,1.7,9.3,2023,968,13.2,.512,.408,.141,1.3,11.0,6.1,32.6,1.7,0.7,14.4,24.8,0.0,1.0,1.1,.053,-0.5,-0.7,-1.2,0.2,4.32,4.38,0.6585365853658537
76,2023,De'Anthony Melton,24,PHI,SG,77,58,27.9,8.5,.425,5.2,.390,3.2,.484,.546,1.1,.793,0.9,3.2,4.1,2.6,1.6,0.5,1.3,2.5,10.1,2023,2150,12.7,.566,.619,.134,3.9,13.1,8.6,12.9,2.9,1.8,12.9,16.4,1.1,3.1,4.2,.095,-0.7,1.6,0.9,1.6,4.32,4.38,0.6585365853658537
84,2023,Julian Champagnie,21,PHI,SF,2,0,3.5,1.0,.000,0.5,.000,0.5,.000,.000,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2023,320,13.4,.600,.631,.131,3.3,17.7,10.2,4.5,0.9,1.3,7.4,19.2,0.3,0.1,0.4,.061,-0.6,-2.7,-3.3,-0.1,4.32,4.38,0.6585365853658537
92,2023,Jalen McDaniels,25,PHI,SF,24,3,17.5,5.1,.488,1.3,.400,3.9,.516,.537,1.4,.824,0.8,2.4,3.2,0.8,0.7,0.2,0.5,2.1,6.7,2023,1913,11.8,.557,.376,.224,3.6,16.3,9.9,9.6,2.1,1.6,12.1,17.2,0.5,2.2,2.7,.068,-2.7,0.6,-2.1,-0.1,4.32,4.38,0.6585365853658537
100,2023,Shake Milton,26,PHI,SG,76,11,20.6,6.6,.479,1.9,.378,4.7,.521,.535,1.5,.853,0.5,2.0,2.5,3.2,0.3,0.2,1.2,1.6,8.4,2023,1567,12.7,.575,.294,.231,3.0,11.3,7.2,22.3,0.8,0.8,14.5,18.5,1.6,1.2,2.9,.087,-1.0,-0.9,-2.0,0.0,4.32,4.38,0.6585365853658537
110,2023,Georges Niang,29,PHI,PF,78,1,19.4,6.4,.442,4.9,.401,1.5,.576,.596,0.6,.867,0.2,2.1,2.4,1.0,0.4,0.2,0.7,1.9,8.2,2023,1512,10.9,.610,.765,.090,1.5,12.8,7.2,7.3,1.0,0.9,9.4,17.0,1.1,1.4,2.5,.078,-0.4,-1.0,-1.4,0.2,4.32,4.38,0.6585365853658537
114,2024,Mo Bamba,25,PHI,C,57,17,13.0,3.5,.490,1.1,.391,2.4,.537,.553,0.9,.680,1.4,2.8,4.2,0.7,0.4,1.1,0.7,1.8,4.4,2023,769,15.7,.602,.515,.257,8.5,24.2,16.4,8.7,0.8,5.3,10.1,16.6,1.1,1.1,2.2,.139,-0.2,0.7,0.5,0.5,4.32,4.38,0.6585365853658537
122,2024,Patrick Beverley,35,PHI,PG,47,5,19.6,5.1,.432,2.3,.321,2.8,.523,.504,1.3,.810,0.6,2.4,3.1,3.1,0.5,0.4,1.0,1.8,6.3,2023,1816,8.9,.534,.664,.181,2.7,12.0,7.5,13.3,1.7,2.0,13.4,10.6,0.8,2.1,3.0,.079,-2.9,1.7,-1.2,0.3,4.32,4.38,0.6585365853658537
134,2024,Nicolas Batum,35,PHI,PF,57,38,25.9,4.4,.456,3.1,.399,1.2,.600,.599,0.4,.714,1.2,3.0,4.2,2.2,0.8,0.6,0.7,1.8,5.5,2023,1709,11.0,.594,.832,.126,4.1,15.4,9.8,9.4,1.5,2.3,11.1,11.5,1.7,1.9,3.6,.101,-0.8,1.2,0.5,1.0,4.32,4.38,0.6585365853658537
142,2023,Saben Lee,23,PHI,PG,2,0,5.0,2.0,.750,0.5,.000,1.5,1.000,.750,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,1.5,0.5,3.0,2023,373,13.1,.517,.248,.471,3.8,9.7,6.7,24.3,2.5,0.2,14.1,19.5,0.2,0.4,0.7,.088,-2.7,0.9,-1.8,0.0,4.32,4.38,0.6585365853658537
150,2024,Robert Covington,33,PHI,SF,26,3,16.1,3.4,.449,1.8,.354,1.6,.561,.545,0.9,.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5,2023,779,14.2,.584,.594,.175,4.5,19.2,11.9,10.2,2.4,3.7,11.5,15.6,0.7,1.2,1.9,.117,-0.5,2.1,1.7,0.7,4.32,4.38,0.6585365853658537
158,2023,Montrezl Harrell,29,PHI,C,57,7,11.9,3.7,.598,0.1,.000,3.6,.616,.598,1.8,.693,1.2,1.6,2.8,0.6,0.3,0.4,0.6,1.3,5.6,2023,681,17.6,.631,.029,.483,11.8,15.7,13.8,7.4,1.2,3.4,12.1,18.9,1.3,0.8,2.2,.153,-0.9,-0.4,-1.3,0.1,4.32,4.38,0.6585365853658537
160,2024,Danny Green,36,PHI,SG,2,0,9.0,1.0,.000,0.5,.000,0.5,.000,.000,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,2023,138,10.8,.617,.755,.020,2.5,9.1,5.8,6.1,2.2,2.0,16.8,18.9,0.0,0.2,0.2,.059,-2.1,0.2,-1.9,0.0,4.32,4.38,0.6585365853658537
168,2023,Dewayne Dedmon,33,PHI,C,8,1,9.5,2.8,.591,0.3,.500,2.5,.600,.614,0.6,.200,0.8,2.4,3.1,1.3,0.3,0.6,0.8,1.8,3.5,2023,426,15.5,.577,.258,.325,9.1,28.3,18.5,9.5,1.1,4.4,12.7,20.6,0.3,0.7,1.0,.115,-2.6,1.0,-1.6,0.0,4.32,4.38,0.6585365853658537
174,2024,Darius Bazley,23,PHI,PF,3,0,3.3,0.3,.000,0.0,,0.3,.000,.000,0.0,,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.0,0.0,2023,616,13.1,.524,.290,.383,5.8,18.5,12.1,8.3,1.7,5.1,11.2,16.4,0.1,0.9,1.0,.078,-2.0,1.0,-1.0,0.2,4.32,4.38,0.6585365853658537
186,2024,Kenneth Lofton Jr.,21,PHI,PF,2,0,4.5,3.0,.167,1.0,.000,2.0,.250,.167,0.0,,0.0,1.5,1.5,0.0,0.0,0.0,1.0,0.0,1.0,2023,176,20.2,.572,.183,.290,11.5,19.2,15.4,18.1,1.3,1.0,10.3,27.6,0.3,0.2,0.5,.145,0.7,-1.1,-0.4,0.1,4.32,4.38,0.6585365853658537
196,2023,Danuel House Jr.,29,PHI,SF,56,5,14.4,3.5,.472,2.0,.336,1.6,.644,.566,1.1,.750,0.2,1.5,1.7,0.8,0.3,0.2,0.5,1.2,4.8,2023,807,9.4,.600,.558,.305,1.3,12.2,6.9,7.5,0.9,1.0,10.4,13.8,0.6,0.7,1.3,.075,-2.5,-0.5,-3.0,-0.2,4.32,4.38,0.6585365853658537
204,2023,Paul Reed,23,PHI,C,69,2,10.9,3.0,.593,0.1,.167,2.9,.606,.596,0.7,.745,1.6,2.2,3.8,0.4,0.7,0.7,0.7,1.8,4.2,2023,755,19.2,.620,.029,.244,17.8,23.1,20.5,5.3,3.0,6.3,16.3,16.4,1.2,1.6,2.8,.180,-1.6,1.5,-0.1,0.4,4.32,4.38,0.6585365853658537
212,2023,Matisse Thybulle,25,PHI,SF,49,6,12.1,2.4,.431,1.3,.333,1.1,.547,.522,0.2,.750,0.4,0.9,1.3,0.5,0.9,0.3,0.2,1.3,2.7,2023,1200,10.5,.552,.585,.111,3.9,9.7,6.8,5.9,3.4,2.4,8.3,10.6,0.6,1.5,2.1,.086,-2.7,2.2,-0.5,0.4,4.32,4.38,0.6585365853658537
220,2023,Furkan Korkmaz,25,PHI,SG,37,0,9.5,3.0,.432,1.2,.391,1.8,.462,.514,1.0,.722,0.2,1.0,1.1,0.6,0.3,0.1,0.6,0.5,3.8,2023,353,9.3,.552,.414,.324,2.0,11.8,7.0,8.8,1.4,0.8,15.9,19.1,-0.2,0.3,0.1,.019,-3.3,-1.0,-4.4,-0.2,4.32,4.38,0.6585365853658537
228,2023,P.J. Tucker,37,PHI,PF,75,75,25.6,3.0,.427,1.9,.393,1.1,.482,.549,0.3,.826,1.3,2.7,3.9,0.8,0.5,0.2,0.6,2.4,3.5,2023,1920,5.7,.566,.622,.102,5.9,12.1,9.1,3.9,1.0,0.7,15.8,6.5,0.9,1.7,2.5,.064,-3.2,0.2,-3.0,-0.5,4.32,4.38,0.6585365853658537
244,2023,Jaden Springer,20,PHI,SG,16,2,5.6,2.2,.486,0.3,.400,1.9,.500,.514,0.5,.750,0.4,0.5,0.9,0.5,0.4,0.2,0.2,0.9,2.6,2023,89,17.2,.545,.143,.229,8.1,10.4,9.3,13.8,3.9,3.1,7.2,20.8,0.1,0.2,0.3,.145,-2.6,2.9,0.3,0.1,4.32,4.38,0.6585365853658537
260,2024,Jeff Dowtin,26,PHI,PG,12,0,11.8,3.0,.556,1.6,.474,1.4,.647,.681,0.3,.750,0.3,1.4,1.7,2.3,0.6,0.1,0.4,0.1,4.3,2023,259,9.9,.500,.281,.158,2.4,8.0,5.0,15.5,1.7,1.1,7.6,10.9,0.2,0.2,0.4,.076,-2.8,0.9,-1.9,0.0,4.32,4.38,0.6585365853658537
264,2023,Michael Foster Jr.,20,PHI,PF,1,0,1.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.010,-7.2,-1.9,-9.2,0.0,4.32,4.38,0.6585365853658537
266,2024,Ricky Council IV,22,PHI,SG,32,0,9.0,3.5,.482,1.0,.375,2.5,.525,.536,2.2,.746,0.4,1.0,1.4,0.5,0.3,0.0,0.2,0.5,5.4,2024,289,18.6,.604,.286,.634,5.3,12.4,8.8,8.2,1.4,0.3,3.4,22.1,0.8,0.3,1.0,.173,2.1,-0.8,1.3,0.2,4.32,4.38,0.6585365853658537
268,2024,D.J. Wilson,27,PHI,PF,2,0,7.5,3.0,.667,1.0,1.000,2.0,.500,.833,0.0,,0.5,0.5,1.0,1.0,0.0,1.0,0.0,0.5,5.0,2024,15,31.6,.833,.333,.000,7.2,7.5,7.4,22.5,0.0,12.2,0.0,17.3,0.1,0.0,0.1,.355,15.5,7.0,22.4,0.1,4.32,4.38,0.6585365853658537
270,2024,Terquavion Smith,21,PHI,PG,16,0,5.3,2.9,.391,2.2,.371,0.7,.455,.533,0.3,.600,0.0,0.3,0.3,0.8,0.5,0.0,0.4,0.5,3.3,2024,84,14.8,.539,.761,.109,0.0,5.4,2.6,22.1,4.7,0.0,12.7,28.4,0.0,0.1,0.1,.050,0.3,0.5,0.8,0.1,4.32,4.38,0.6585365853658537
272,2024,Filip Petrušev,23,PHI,C,1,0,3.0,0.0,,0.0,,0.0,,,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,10,5.1,.521,.000,1.000,0.0,11.2,5.5,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,.029,-4.7,-3.3,-8.0,0.0,4.32,4.38,0.6585365853658537
278,2024,Javonte Smart,24,PHI,PG,1,0,1.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.005,-6.2,-2.1,-8.3,0.0,4.32,4.38,0.6585365853658537
280,2023,Luka Dončić,23,DAL,PG,66,66,36.2,22.0,.496,8.2,.342,13.8,.588,.560,10.5,.742,0.8,7.8,8.6,8.0,1.4,0.5,3.6,2.5,32.4,2023,2391,28.7,.609,.373,.479,2.6,25.4,13.8,42.3,1.9,1.2,11.9,37.6,7.3,2.9,10.2,.204,7.6,1.4,8.9,6.6,0.07,-0.15,0.4634146341463415
288,2023,Kyrie Irving,30,DAL,SG,20,20,38.2,19.2,.510,7.4,.392,11.8,.585,.586,4.7,.947,1.1,4.0,5.0,6.0,1.3,0.6,1.9,2.8,27.0,2023,2241,22.4,.613,.412,.227,3.0,12.3,7.7,25.4,1.4,1.7,8.8,28.9,5.4,2.0,7.4,.159,4.8,-0.7,4.1,3.5,0.07,-0.15,0.4634146341463415
304,2023,Spencer Dinwiddie,29,DAL,SG,53,53,34.1,13.1,.455,6.4,.405,6.7,.504,.555,3.9,.821,0.4,2.7,3.1,5.3,0.7,0.3,1.7,2.3,17.7,2023,2725,16.0,.573,.467,.314,1.2,10.2,5.7,28.1,1.2,0.8,10.8,22.1,4.5,1.8,6.3,.111,1.6,-0.9,0.7,1.8,0.07,-0.15,0.4634146341463415
316,2023,Christian Wood,27,DAL,C,67,17,25.9,11.5,.515,4.2,.376,7.3,.594,.583,4.2,.772,1.3,6.0,7.3,1.8,0.4,1.1,1.8,2.5,16.6,2023,1738,20.6,.624,.363,.365,5.8,27.4,16.4,11.7,0.9,3.7,11.9,26.4,2.7,2.1,4.8,.132,1.9,-0.3,1.7,1.6,0.07,-0.15,0.4634146341463415
320,2024,P.J. Washington,25,DAL,PF,29,28,32.2,10.4,.421,5.8,.314,4.6,.556,.508,1.8,.627,1.1,5.1,6.2,1.5,1.2,0.9,1.0,2.0,11.7,2023,2380,12.9,.542,.438,.178,3.2,13.0,8.0,11.0,1.3,2.9,9.4,20.6,0.4,2.2,2.6,.052,-1.0,-0.3,-1.3,0.4,0.07,-0.15,0.4634146341463415
328,2023,Tim Hardaway Jr.,30,DAL,SF,71,45,30.3,11.9,.401,7.7,.385,4.2,.431,.527,2.3,.770,0.3,3.2,3.5,1.8,0.7,0.2,0.8,1.7,14.4,2023,2152,12.1,.554,.649,.195,1.1,12.6,6.8,9.0,1.1,0.5,6.1,20.6,1.0,1.3,2.3,.051,-0.3,-1.5,-1.8,0.1,0.07,-0.15,0.4634146341463415
336,2024,Seth Curry,33,DAL,SG,36,3,12.7,4.0,.372,2.2,.363,1.8,.385,.472,0.5,.895,0.4,1.0,1.4,0.8,0.5,0.1,0.4,0.9,4.3,2023,1211,12.3,.593,.517,.122,1.2,7.9,4.6,11.9,1.5,0.5,9.7,19.2,0.9,0.9,1.8,.070,-1.2,-0.9,-2.1,0.0,0.07,-0.15,0.4634146341463415
344,2023,Josh Green,22,DAL,SG,60,21,25.7,6.4,.537,2.8,.402,3.6,.643,.626,1.6,.723,0.9,2.1,3.0,1.7,0.7,0.1,1.2,2.6,9.1,2023,1539,11.2,.645,.442,.246,4.1,9.7,6.9,9.7,1.4,0.3,14.5,14.6,1.7,0.9,2.6,.082,-1.9,-0.6,-2.4,-0.2,0.07,-0.15,0.4634146341463415
352,2024,Daniel Gafford,25,DAL,PF,29,21,21.5,6.4,.780,0.0,,6.4,.780,.780,1.9,.607,2.2,4.7,6.9,1.6,0.7,1.9,1.0,2.8,11.2,2023,1604,19.7,.739,.000,.473,11.7,18.0,15.0,7.5,1.0,5.2,15.1,15.2,4.2,1.9,6.1,.184,0.4,0.6,1.0,1.2,0.07,-0.15,0.4634146341463415
360,2023,Jaden Hardy,20,DAL,SG,48,5,14.8,6.9,.438,3.3,.404,3.7,.469,.533,1.6,.823,0.2,1.6,1.9,1.4,0.4,0.1,1.0,1.3,8.8,2023,708,14.6,.571,.468,.237,1.8,13.0,7.3,14.9,1.2,0.9,11.1,26.4,0.2,0.5,0.7,.048,-0.4,-1.9,-2.3,0.0,0.07,-0.15,0.4634146341463415
368,2023,Dorian Finney-Smith,29,DAL,PF,40,40,32.2,7.8,.416,5.4,.355,2.3,.559,.540,1.0,.750,1.7,3.0,4.7,1.5,1.0,0.5,0.9,2.0,9.1,2023,2009,9.2,.523,.675,.118,6.5,11.5,9.0,6.7,1.4,1.6,10.5,13.2,0.6,1.6,2.1,.051,-1.7,-0.3,-2.0,0.0,0.07,-0.15,0.4634146341463415
376,2024,Grant Williams,25,DAL,PF,47,33,26.4,6.7,.413,4.5,.376,2.3,.486,.538,1.2,.745,1.0,2.6,3.6,1.7,0.5,0.6,1.1,2.9,8.1,2023,2045,10.3,.605,.611,.256,4.7,14.5,9.7,8.4,1.0,1.3,13.4,13.1,1.9,2.6,4.4,.104,-1.8,0.7,-1.1,0.5,0.07,-0.15,0.4634146341463415
384,2023,Kemba Walker,32,DAL,PG,9,1,16.0,6.3,.421,3.1,.250,3.2,.586,.482,2.3,.810,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,8.0,2023,144,15.0,.543,.491,.368,2.4,10.6,6.5,20.1,0.7,1.2,5.7,22.1,0.2,0.1,0.3,.098,0.3,-0.6,-0.3,0.1,0.07,-0.15,0.4634146341463415
386,2023,Reggie Bullock,31,DAL,SF,78,55,30.3,6.0,.409,5.1,.380,0.9,.562,.569,0.5,.703,0.4,3.2,3.6,1.4,0.7,0.2,0.5,2.1,7.2,2023,2364,7.7,.577,.845,.079,1.6,12.5,7.0,6.2,1.1,0.5,6.9,10.0,1.3,1.4,2.8,.056,-2.3,-0.3,-2.6,-0.4,0.07,-0.15,0.4634146341463415
390,2023,Dwight Powell,31,DAL,C,76,64,19.2,3.5,.732,0.1,.000,3.5,.746,.732,2.2,.667,2.0,2.2,4.1,0.9,0.6,0.3,0.9,2.8,6.7,2023,1458,15.5,.738,.019,.625,11.8,13.3,12.5,6.9,1.6,1.6,15.9,12.6,3.8,1.3,5.1,.168,-1.2,0.0,-1.2,0.3,0.07,-0.15,0.4634146341463415
398,2023,Maxi Kleber,31,DAL,PF,37,5,25.1,4.6,.456,3.0,.348,1.5,.667,.571,1.0,.711,0.8,2.8,3.6,1.4,0.3,0.8,0.7,2.3,5.9,2023,930,8.7,.592,.663,.225,3.7,13.3,8.4,7.5,0.6,2.9,12.7,10.3,0.7,0.6,1.3,.067,-2.2,0.0,-2.2,0.0,0.07,-0.15,0.4634146341463415
406,2024,Derrick Jones Jr.,26,DAL,SF,76,66,23.5,6.5,.483,3.1,.343,3.4,.613,.566,1.8,.713,1.1,2.2,3.3,1.0,0.7,0.7,0.9,1.6,8.6,2023,893,13.8,.597,.348,.365,7.7,11.6,9.7,5.1,1.6,4.0,8.6,14.5,1.2,1.2,2.4,.131,-1.2,0.8,-0.4,0.3,0.07,-0.15,0.4634146341463415
410,2023,Dāvis Bertāns,30,DAL,PF,45,1,10.9,3.6,.431,3.1,.390,0.4,.737,.603,0.3,.867,0.2,1.0,1.2,0.5,0.2,0.2,0.2,1.2,4.6,2023,492,11.9,.618,.881,.094,2.3,10.3,6.3,6.2,1.1,1.5,5.7,16.2,0.6,0.3,0.9,.090,0.0,-1.3,-1.2,0.1,0.07,-0.15,0.4634146341463415
418,2023,Justin Holiday,33,DAL,SF,18,2,16.4,4.4,.367,3.1,.286,1.3,.565,.468,0.4,.625,0.2,1.6,1.8,0.9,0.8,0.5,0.6,1.7,4.4,2023,706,6.6,.494,.701,.039,0.8,8.1,4.4,7.5,1.3,2.3,9.6,14.1,-0.4,0.5,0.1,.008,-3.7,-0.1,-3.9,-0.3,0.07,-0.15,0.4634146341463415
426,2023,JaVale McGee,35,DAL,C,42,7,8.5,3.0,.640,0.1,.400,2.9,.650,.648,1.0,.585,0.7,1.8,2.5,0.3,0.1,0.6,0.9,1.3,4.4,2023,355,17.2,.650,.040,.328,9.7,25.5,17.5,5.2,0.6,6.5,20.1,22.8,0.1,0.5,0.6,.076,-3.6,-0.1,-3.7,-0.1,0.07,-0.15,0.4634146341463415
430,2023,McKinley Wright IV,24,DAL,PG,27,1,12.4,3.6,.469,1.0,.321,2.6,.529,.515,0.7,.684,0.3,1.4,1.7,2.1,0.3,0.2,0.7,0.9,4.2,2023,335,12.4,.536,.286,.194,3.1,13.4,8.2,25.2,1.2,1.3,15.2,16.9,0.2,0.2,0.5,.069,-1.9,-0.8,-2.7,-0.1,0.07,-0.15,0.4634146341463415
432,2023,Markieff Morris,33,DAL,PF,8,1,8.8,4.1,.424,2.8,.364,1.4,.545,.545,0.0,,0.0,1.5,1.5,0.8,0.1,0.0,0.5,1.9,4.5,2023,355,10.4,.553,.617,.087,4.2,18.2,11.3,12.2,1.2,1.2,13.1,17.2,0.1,0.4,0.4,.059,-2.3,-0.4,-2.7,-0.1,0.07,-0.15,0.4634146341463415
448,2023,A.J. Lawson,22,DAL,SG,14,0,7.6,3.1,.488,1.8,.400,1.3,.611,.605,0.6,.250,0.4,1.0,1.4,0.1,0.1,0.0,0.2,0.7,3.9,2023,108,13.9,.589,.568,.182,6.4,16.3,11.3,3.0,0.9,0.0,5.9,21.1,0.1,0.1,0.1,.063,-1.5,-2.9,-4.4,-0.1,0.07,-0.15,0.4634146341463415
464,2024,Richaun Holmes,30,DAL,C,23,2,10.3,2.6,.559,0.0,,2.6,.559,.559,0.9,.571,1.4,2.0,3.4,0.7,0.1,0.4,0.5,1.4,3.4,2023,348,12.9,.668,.090,.213,9.6,16.6,13.1,3.5,0.4,2.8,12.6,13.7,0.6,0.3,0.8,.113,-2.0,-0.9,-2.9,-0.1,0.07,-0.15,0.4634146341463415
472,2023,Tyler Dorsey,26,DAL,SF,3,0,2.7,1.7,.800,0.7,.500,1.0,1.000,.900,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,3.0,2023,8,45.5,.900,.400,.000,14.4,14.7,14.5,0.0,0.0,0.0,0.0,28.3,0.1,0.0,0.1,.367,17.0,0.8,17.8,0.0,0.07,-0.15,0.4634146341463415
474,2023,Frank Ntilikina,24,DAL,SG,47,5,12.9,2.8,.364,1.4,.254,1.4,.477,.428,0.7,.667,0.1,1.2,1.3,1.2,0.3,0.1,0.6,1.4,2.9,2023,607,5.2,.461,.508,.250,1.3,10.7,5.9,12.8,1.3,1.0,16.5,13.1,-0.5,0.4,-0.1,-0.010,-6.1,-0.7,-6.7,-0.7,0.07,-0.15,0.4634146341463415
478,2023,Theo Pinson,27,DAL,SG,40,1,8.1,2.2,.356,1.6,.355,0.6,.360,.483,0.3,.846,0.3,1.3,1.6,1.2,0.2,0.0,0.3,0.9,2.4,2023,323,10.1,.512,.713,.149,3.6,19.3,11.4,19.6,0.9,0.3,11.5,14.7,0.2,0.2,0.5,.071,-2.5,-0.9,-3.4,-0.1,0.07,-0.15,0.4634146341463415
480,2023,Chris Silva,26,DAL,PF,1,0,3.0,1.0,1.000,0.0,,1.0,1.000,1.000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2023,3,-2.2,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.1,0.0,0.0,0.0,-0.260,-22.5,-0.1,-22.6,0.0,0.07,-0.15,0.4634146341463415
482,2024,Greg Brown III,22,DAL,PF,6,0,6.7,1.8,.455,0.5,.333,1.3,.500,.500,1.5,.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5,2023,93,5.8,.421,.250,.429,2.5,21.2,11.7,4.5,2.1,4.8,15.3,18.4,-0.3,0.1,-0.1,-0.074,-8.5,0.0,-8.5,-0.2,0.07,-0.15,0.4634146341463415
